Word,Definition,Example 1,Example 2
ability,the physical or mental power or skill needed to do something,There's no doubting her ability.,[ + to infinitive ] She had the ability to explain things clearly and concisely.
abseiling,the activity of going down a very steep slope while holding on to a rope that is fastened to the top of the slope,"outdoor activities such as abseiling, parachuting, and canoeing",
accordingly,in a way that is suitable or right for the situation,When we receive your instructions we will act accordingly.,"She's an expert in her field, and is paid accordingly."
abundance,the situation in which there is more than enough of something,an abundance of There was an abundance of food at the wedding.,in abundance This team has talent in abundance.
acclimatize,"to change to suit different conditions of life, weather, etc., or to make someone or something do this",acclimatize to The defending champion has acclimatized to the 30°C sunshine by spending the past month in Florida.,More time will be needed for the troops and equipment to become acclimatised to desert conditions.
accommodation,a place to stay or live,They paid for his flights and hotel accommodation.,There's a shortage of cheap accommodation in the city.
accountant,"someone who keeps or examines the records of money received, paid, and owed by a company or person",a firm of accountants,a tax accountant
accumulator,a battery that collects and stores electricit,,
accuracy,the fact of being exact or correct,Patricia has checked the reports and can vouch for the accuracy of the information.,with accuracy Experience is needed to use the machine with accuracy.
accurate,"correct, exact, and without any mistakes",an accurate machine,an accurate description
accurately,"in a way that is correct, exact, and without any mistakes",The plans should be drawn as accurately as possible.,"For the experiment to be valid, it is essential to record the data accurately."
activity,the situation in which a lot of things are happening or people are moving around,economic activity Economists are concerned by the low level of economic activity.,business activity Experts predict that this could depress business activity for years.
adequately,in a way that is enough or satisfactory for a particular purpose,"While some patients can be adequately cared for at home, others are best served by care in a hospital.",Manufacturers may lack the means to adequately test their product.
adjusting,present participle of,,
adjus,If the chair is too high you can adjust it to suit you.,As a teacher you have to adjust your methods to suit the needs of slower children.,
admittedly,"used when you are agreeing that something is true, especially unwillingly","Admittedly, I could have tried harder but I still don't think all this criticism is fair.",
advanced,modern and well developed,This is the most advanced type of engine available.,advanced technology We have made great progress in advanced technologies such as biotechnology and AI.
advancement,the development or improvement of something,All she was interested in was the advancement of her own career.,The President's speech to the conference centered on the advancement of alternative fuel sources as a means of ensuring our future survival.
adventure,"an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity",go on an adventure They went on an adventure hunting for treasure in the western hills.,have an adventure She had some exciting adventures in Egypt.
advocate,"to publicly support or suggest an idea, development, or way of doing something",[ + -ing verb ] She advocates taking a more long-term view.,He advocates the return of capital punishment.
affordable,not expensive,nice clothes at affordable prices,affordable housing They have increased their provision of affordable housing in order to make home ownership accessible to buyers who would otherwise be unable to buy.
aggressive,showing anger and a willingness to attack other people,The stereotype is that men tend to be more aggressive than women.,"If I criticize him, he gets aggressive and starts shouting."
Agriculture,farming,Agriculture is still largely based on traditional methods in some countries.,The area depends on agriculture for most of its income.
aim,a result that your plans or actions are intended to achieve,My main aim in life is to be a good husband and father.,"Our short-term aim is to deal with our current financial difficulties, but our long-term aim is to improve the company's profitability."
aircraft,"any vehicle, with or without an engine, that can fly, such as a plane or helicopter",military aircraft,a commercial/passenger aircraft
